date,description,amount
2025-01-02,Direct Deposit PAYROLL,2500.00
2025-01-03,WALMART SUPERCENTER #1234,-84.32
2025-01-04,STARBUCKS STORE 5521,-6.75
2025-01-05,SHELL OIL 12345678,-42.10
2025-01-06,NETFLIX.COM,-15.49
2025-01-07,RENT PAYMENT - PROPERTY MANAGEMENT LLC,-1450.00
2025-01-08,AMAZON.COM*A1B2C3,-58.20
2025-01-10,UBER TRIP 8842,-13.40
2025-01-12,TRADER JOE'S #221,-62.15
2025-01-14,CVS PHARMACY #9081,-24.99
2025-01-15,COMCAST CABLE COMMUNICAT,-89.99
2025-01-16,CHIPOTLE ONLINE ORDER,-11.85
2025-01-18,SPOTIFY USA,-10.99
2025-01-20,VENMO PAYMENT TO J SMITH,-40.00
2025-01-22,TARGET STORE 0456,-73.44
2025-01-24,EXXON MOBIL 998877,-38.60
2025-01-26,DOORDASH*CHIPOTLE,-22.15
2025-01-28,ELECTRIC COMPANY BILL PAY,-102.55
2025-01-30,BEST BUY #1122,-249.99
2025-02-02,Direct Deposit PAYROLL,2500.00
2025-02-03,WALMART SUPERCENTER #1234,-91.02
2025-02-05,SHELL OIL 12345678,-45.30
2025-02-06,NETFLIX.COM,-15.49
2025-02-07,RENT PAYMENT - PROPERTY MANAGEMENT LLC,-1450.00
2025-02-09,UBER TRIP 9012,-9.75
2025-02-11,WHOLE FOODS MARKET,-77.60
2025-02-13,STARBUCKS STORE 5521,-5.45
2025-02-15,COMCAST CABLE COMMUNICAT,-89.99
2025-02-17,GRUBHUB*PIZZA PLACE,-28.30
2025-02-19,SPOTIFY USA,-10.99
2025-02-21,ETSY.COM PURCHASE,-34.00
2025-02-23,ZELLE TRANSFER TO M LEE,-100.00
2025-02-25,WALGREENS #4432,-18.75
2025-02-27,ELECTRIC COMPANY BILL PAY,-97.10
2025-02-28,MYSTERY MERCHANT XYZ,-15.00
